brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Toyota,SR5,RWD,Gray,Gray,60307,Tundra,28745,Automatic,2016
Toyota,Base,RWD,Black,Gray,69111,Tundra,14950,Automatic,2007
Toyota,Grade,RWD,Gray,Other,83916,Tundra,20950,Automatic,2013
Toyota,SR5,RWD,Gray,Black,15253,Tundra,28491,Automatic,2016
Toyota,SR5,RWD,Gray,Gray,66554,Tundra,28491,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Gray,Black,47657,Tundra,32391,Automatic,2017
Toyota,Grade,RWD,Gray,Gray,97821,Tundra,20500,Automatic,2012
Toyota,Limited,RWD,Silver,Gray,24158,Tundra,35415,Automatic,2017
Toyota,SR5,RWD,Black,Black,7255,Tundra,31532,Automatic,2019
Toyota,SR5,4x4/4-wheel drive,White,Black,82688,Tundra,26995,Automatic,2014
Toyota,Limited,4x4/4-wheel drive,Silver,Gray,86768,Tundra,27999,Automatic,2012
Toyota,1794,RWD,Brown,Brown,34186,Tundra,35290,Automatic,2016
Toyota,Platinum,4x4/4-wheel drive,Red,Black,64884,Tundra,29450,Automatic,2013
Toyota,SR5,RWD,Brown,Other,23706,Tundra,,Automatic,2017
Toyota,SR5,RWD,White,Other,31190,Tundra,,Automatic,2016
Toyota,Platinum,4x4/4-wheel drive,Gray,Black,14937,Tundra,39791,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,70345,Tundra,31670,Automatic,2017
Toyota,SR5,RWD,White,Gray,41933,Tundra,31498,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,White,Black,38895,Tundra,,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,Black,Other,11519,Tundra,,Automatic,2018
Toyota,Base,4x4/4-wheel drive,White,Gray,117053,Tundra,22625,Automatic,2011
Toyota,Base,4x4/4-wheel drive,Silver,Gray,79673,Tundra,24987,Automatic,2012
Toyota,SR5,RWD,White,Black,121662,Tundra,18799,Automatic,2008
Toyota,TRD Pro,4x4/4-wheel drive,White,Black,815,Tundra,51187,Automatic,2019
Toyota,Limited,4x4/4-wheel drive,Silver,Gray,72975,Tundra,27850,Automatic,2013
Toyota,SR,RWD,White,Gray,13669,Tundra,26998,Automatic,2018
Toyota,SR5,RWD,Silver,Other,42213,Tundra,30493,Automatic,2014
Toyota,Limited,4x4/4-wheel drive,Silver,Gray,32461,Tundra,38995,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Black,Black,48562,Tundra,,Automatic,2014
Toyota,1794,4x4/4-wheel drive,Brown,Black,49384,Tundra,35773,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,White,Black,25133,Tundra,31995,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,Gray,Beige,105300,Tundra,13995,Automatic,2007
Toyota,SR5,4x4/4-wheel drive,Black,Black,13957,Tundra,37882,Automatic,2017
Toyota,SR,4x4/4-wheel drive,White,Gray,16171,Tundra,31811,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,16050,Tundra,32000,Automatic,2019
Toyota,1794,4x4/4-wheel drive,Gray,Brown,12275,Tundra,45000,Automatic,2019
Toyota,SR5,4x4/4-wheel drive,Silver,Gray,24071,Tundra,31699,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,White,Black,62560,Tundra,,Automatic,2015
Toyota,SR5,4x4/4-wheel drive,Red,Black,3739,Tundra,,Automatic,2018
Toyota,Grade,4x4/4-wheel drive,White,Other,103484,Tundra,19975,Automatic,2012
Toyota,1794,4x4/4-wheel drive,Brown,Black,51560,Tundra,34500,Automatic,2015
Toyota,Limited,4x4/4-wheel drive,Red,Beige,39590,Tundra,36500,Automatic,2015
Toyota,1794,4x4/4-wheel drive,Black,Brown,10151,Tundra,45800,Automatic,2018
Toyota,Limited,4x4/4-wheel drive,Silver,Black,6523,Tundra,38982,Automatic,2018
Toyota,Limited,4x4/4-wheel drive,Silver,Black,9022,Tundra,43980,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Red,Black,23058,Tundra,36300,Automatic,2017
Toyota,SR5,RWD,White,Black,41008,Tundra,29800,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,Black,Beige,52787,Tundra,28966,Automatic,2014
Toyota,Platinum,4x4/4-wheel drive,Red,Black,29100,Tundra,41200,Automatic,2017
Toyota,SR5,RWD,White,Gray,36712,Tundra,,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Silver,Gray,36971,Tundra,34677,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,White,Gray,12638,Tundra,38871,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Red,Gray,36587,Tundra,34133,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,White,Black,103,Tundra,44922,Automatic,2019
Toyota,Grade,4x4/4-wheel drive,White,Black,87816,Tundra,23995,Automatic,2012
Toyota,1794,4x4/4-wheel drive,Brown,Black,66856,Tundra,35995,Automatic,2015
Toyota,SR5,RWD,White,Gray,38340,Tundra,26998,Automatic,2016
Toyota,Limited,RWD,Brown,Black,28554,Tundra,30900,Automatic,2016
Toyota,SR5,RWD,Blue,Gray,119269,Tundra,19999,Automatic,2014
Toyota,SR5,4x4/4-wheel drive,Gray,Black,21616,Tundra,37481,Automatic,2018
Toyota,SR,RWD,Red,Gray,51964,Tundra,22955,Automatic,2016
Toyota,,RWD,Gray,Gray,134569,Tundra,16935,Automatic,2013
Toyota,1794,4x4/4-wheel drive,Black,Beige,48813,Tundra,44799,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Red,Gray,56119,Tundra,33888,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Gray,Black,42000,Tundra,36991,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Black,Black,61016,Tundra,31900,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Red,Gray,73503,Tundra,,Automatic,2015
Toyota,SR5,RWD,Black,Gray,18445,Tundra,33819,Automatic,2017
Toyota,Limited,RWD,Silver,Gray,11533,Tundra,,Automatic,2018
Toyota,SR5,RWD,Blue,Gray,26202,Tundra,,Automatic,2016
Toyota,SR5,RWD,Black,Gray,47549,Tundra,24773,Automatic,2014
Toyota,SR5,RWD,Red,Gray,14024,Tundra,29930,Automatic,2018
Toyota,SR5,RWD,White,Gray,34045,Tundra,,Automatic,2018
Toyota,,RWD,White,Gray,93723,Tundra,17400,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,25005,Tundra,35500,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Silver,Gray,41919,Tundra,,Automatic,2014
Toyota,SR5,RWD,White,Black,65171,Tundra,,Automatic,2016
Toyota,SR5,RWD,Silver,Gray,17856,Tundra,37800,Automatic,2018
Toyota,Limited,4x2/2-wheel drive,Red,Gray,11939,Tundra,36990,Automatic,2018
Toyota,Grade,4x4/4-wheel drive,White,Other,115523,Tundra,22000,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,45159,Tundra,31888,Automatic,2016
Toyota,SR5,RWD,Gray,Gray,8275,Tundra,37980,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Gray,Black,29518,Tundra,37699,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Gray,Black,45315,Tundra,,Automatic,2015
Toyota,SR5,4x4/4-wheel drive,White,Gray,29153,Tundra,35994,Automatic,2018
Toyota,1794,4x4/4-wheel drive,Silver,Black,63035,Tundra,33874,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,Silver,Other,37709,Tundra,34588,Automatic,2015
Toyota,Grade,RWD,Silver,Gray,92658,Tundra,16239,Automatic,2010
Toyota,Base,4x4/4-wheel drive,Other,Other,103203,Tundra,21489,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Blue,Other,35055,Tundra,34991,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Blue,Other,10430,Tundra,40991,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Silver,Black,36269,Tundra,34990,Automatic,2014
Toyota,SR5,4x4/4-wheel drive,Red,Beige,30840,Tundra,33894,Automatic,2017
Toyota,SR,RWD,White,Gray,6017,Tundra,30275,Automatic,2019
Toyota,SR5,4x4/4-wheel drive,Black,Gray,26081,Tundra,36415,Automatic,2017
Toyota,SR,RWD,Black,Gray,58473,Tundra,22916,Automatic,2015
Toyota,,4x4/4-wheel drive,Black,Gray,105212,Tundra,21615,Automatic,2012
Toyota,Limited,RWD,Brown,Gray,24459,Tundra,36165,Automatic,2017
Toyota,SR5,RWD,Silver,Gray,1043,Tundra,40587,Automatic,2019
Toyota,Grade,4x4/4-wheel drive,White,Gray,369047,Tundra,9999,Automatic,2010
Toyota,SR5,4x4/4-wheel drive,Silver,Gray,55630,Tundra,29227,Automatic,2015
Toyota,SR5,4x4/4-wheel drive,Orange,Black,39301,Tundra,36450,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,White,Black,15338,Tundra,,Automatic,2018
Toyota,Limited,4x4/4-wheel drive,White,Gray,65789,Tundra,,Automatic,2016
Toyota,Grade,4x4/4-wheel drive,Blue,Gray,79550,Tundra,26999,Automatic,2013
Toyota,SR5,4x4/4-wheel drive,Black,Gray,56831,Tundra,,Automatic,2015
Toyota,Platinum,4x4/4-wheel drive,Silver,Black,14067,Tundra,45301,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Black,Black,28208,Tundra,,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Blue,Beige,7296,Tundra,32987,Automatic,2018
Toyota,Limited,RWD,White,Gray,70349,Tundra,21971,Automatic,2010
Toyota,SR5,RWD,White,Gray,18924,Tundra,34981,Automatic,2016
Toyota,CREWMAX,4x4/4-wheel drive,Red,Gray,72264,Tundra,28900,Automatic,2013
Toyota,SR5,4x4/4-wheel drive,Blue,Black,12316,Tundra,,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Gray,Black,50854,Tundra,,Automatic,2014
Toyota,Limited,4x4/4-wheel drive,Silver,Beige,99191,Tundra,21950,Automatic,2010
Toyota,SR,4x4/4-wheel drive,White,Other,73017,Tundra,25991,Automatic,2014
Toyota,1794,4x4/4-wheel drive,Brown,Black,28009,Tundra,,Automatic,2016
Toyota,Grade,RWD,White,Gray,84827,Tundra,20411,Automatic,2012
Toyota,Limited,RWD,Gold,Beige,107022,Tundra,17888,Automatic,2008
Toyota,SR5,RWD,White,Black,41008,Tundra,29800,Automatic,2017
Toyota,SR5,RWD,Gray,Black,8837,Tundra,29586,Automatic,2018
Toyota,Limited,RWD,White,Gray,42749,Tundra,34500,Automatic,2017
Toyota,SR5,RWD,White,Gray,26802,Tundra,29981,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,20112,Tundra,39488,Automatic,2018
Toyota,1794,RWD,Silver,Black,25041,Tundra,34980,Automatic,2016
Toyota,SR5,RWD,Black,Black,12919,Tundra,34999,Automatic,2018
Toyota,SR5,RWD,White,Black,125560,Tundra,,Automatic,2007
Toyota,Limited,4x4/4-wheel drive,Blue,Beige,63831,Tundra,32944,Automatic,2015
Toyota,SR5,4x4/4-wheel drive,White,Black,19232,Tundra,36900,Automatic,2017
